experiment_id,request_size,n_clients,request_delay_ms,n_requests_per_client
0,16,20,50,20
1,32,20,50,20
2,64,20,50,20
3,128,20,50,20
4,256,20,50,20
5,512,20,50,20
6,1024,20,50,20
7,2048,20,50,20
8,4096,20,50,20
9,8192,20,50,20
10,16384,20,50,20
11,4096,1,50,20
12,4096,2,50,20
13,4096,5,50,20
14,4096,10,50,20
15,4096,20,50,20
16,4096,50,50,20
17,4096,100,50,20
18,4096,200,50,20
19,4096,20,0,20
20,4096,20,10,20
21,4096,20,20,20
22,4096,20,50,20
23,4096,20,100,20
24,4096,20,200,20
25,4096,20,50,10
26,4096,20,50,20
27,4096,20,50,50
28,4096,20,50,100
29,4096,20,50,200
30,4096,20,50,500
