experiment_id,request_size,n_clients,request_delay_ms,n_requests_per_client
0,16,20,50,20
1,32,20,50,20
2,64,20,50,20
3,128,20,50,20
4,256,20,50,20
5,512,20,50,20
6,1024,20,50,20
7,2048,20,50,20
8,4096,20,50,20
9,8192,20,50,20
10,16384,20,50,20
11,4096,1,50,20
12,4096,2,50,20
13,4096,5,50,20
14,4096,10,50,20
15,4096,20,50,20
16,4096,50,50,20
17,4096,100,50,20
18,4096,200,50,20
19,4096,20,0,20
20,4096,20,10,20
21,4096,20,20,20
22,4096,20,50,20
23,4096,20,100,20
24,4096,20,200,20
25,4096,20,50,10
26,4096,20,50,20
27,4096,20,50,50
28,4096,20,50,100
29,4096,20,50,200
30,4096,20,50,500
31,16,20,50,20
32,32,20,50,20
33,64,20,50,20
34,128,20,50,20
35,256,20,50,20
36,512,20,50,20
37,1024,20,50,20
38,2048,20,50,20
39,4096,20,50,20
40,8192,20,50,20
41,16384,20,50,20
42,4096,1,50,20
43,4096,2,50,20
44,4096,5,50,20
45,4096,10,50,20
46,4096,20,50,20
47,4096,50,50,20
48,4096,100,50,20
49,4096,200,50,20
50,4096,20,0,20
51,4096,20,10,20
52,4096,20,20,20
53,4096,20,50,20
54,4096,20,100,20
55,4096,20,200,20
56,4096,20,50,10
57,4096,20,50,20
58,4096,20,50,50
59,4096,20,50,100
60,4096,20,50,200
61,4096,20,50,500
62,16,20,50,20
63,32,20,50,20
64,64,20,50,20
65,128,20,50,20
66,256,20,50,20
67,512,20,50,20
68,1024,20,50,20
69,2048,20,50,20
70,4096,20,50,20
71,8192,20,50,20
72,16384,20,50,20
73,4096,1,50,20
74,4096,2,50,20
75,4096,5,50,20
76,4096,10,50,20
77,4096,20,50,20
78,4096,50,50,20
79,4096,100,50,20
80,4096,200,50,20
81,4096,20,0,20
82,4096,20,10,20
83,4096,20,20,20
84,4096,20,50,20
85,4096,20,100,20
86,4096,20,200,20
87,4096,20,50,10
88,4096,20,50,20
89,4096,20,50,50
90,4096,20,50,100
91,4096,20,50,200
92,4096,20,50,500
